lag,endog,exog,corr
2,d_tsi_mhar_recov,iberian_exception,-0.10770583454056046
2,d_tsi_mhar_recov,load_energy_mwh_pt,-0.06094021988578717
2,d_tsi_mhar_recov,flow_net_mw_ES_PT,-0.055807374156316696
2,d_tsi_mhar_recov,d_load_energy_mwh_fr,-0.046964203728617517
2,d_tsi_mhar_recov,d_load_energy_mwh_es,-0.039243108919477944
2,d_tsi_mhar_recov,d_flow_net_mw_ES_FR,0.02274336085950457
2,d_tsi_mhar_recov,d_psi_eur_pts,0.010793656929040071
2,d_tsi_mhar_recov,d_co2,0.0095786559168769
2,d_tsi_mhar_recov,d_TTF,0.007366748245339521
2,d_tsi_mhar_recov,d_coal,-0.006602408288244896
2,d_tsi_mhar_recov,d_ibex_eur_pts,0.004700934713522151
2,d_tsi_mhar_recov,d_cac_eur_pts,-0.003236153549205571
2,d_tsi_mhar_recov_neg,iberian_exception,-0.10849468832309381
2,d_tsi_mhar_recov_neg,load_energy_mwh_pt,-0.051143949987745206
2,d_tsi_mhar_recov_neg,flow_net_mw_ES_PT,-0.039603806062581244
2,d_tsi_mhar_recov_neg,d_flow_net_mw_ES_FR,0.03042196578536099
2,d_tsi_mhar_recov_neg,d_load_energy_mwh_es,-0.023874658725239337
2,d_tsi_mhar_recov_neg,d_ibex_eur_pts,0.019056890918618206
2,d_tsi_mhar_recov_neg,d_load_energy_mwh_fr,-0.01724583361809706
2,d_tsi_mhar_recov_neg,d_TTF,-0.00960542033366944
2,d_tsi_mhar_recov_neg,d_coal,-0.008926948721354164
2,d_tsi_mhar_recov_neg,d_cac_eur_pts,0.00784340599497137
2,d_tsi_mhar_recov_neg,d_psi_eur_pts,0.0051859367615887
2,d_tsi_mhar_recov_neg,d_co2,-0.0005800451032968133
2,d_tsi_mhar_recov_pos,iberian_exception,-0.1256708255714072
2,d_tsi_mhar_recov_pos,flow_net_mw_ES_PT,-0.07509265736885855
2,d_tsi_mhar_recov_pos,load_energy_mwh_pt,-0.05986242501024388
2,d_tsi_mhar_recov_pos,d_load_energy_mwh_fr,-0.05036204630211763
2,d_tsi_mhar_recov_pos,d_load_energy_mwh_es,-0.028952446886387706
2,d_tsi_mhar_recov_pos,d_psi_eur_pts,0.027650501989340433
2,d_tsi_mhar_recov_pos,d_ibex_eur_pts,0.019977014527073456
2,d_tsi_mhar_recov_pos,d_coal,-0.01828615980055065
2,d_tsi_mhar_recov_pos,d_co2,0.018025759903865346
2,d_tsi_mhar_recov_pos,d_flow_net_mw_ES_FR,0.01624200876607919
2,d_tsi_mhar_recov_pos,d_TTF,-0.009498621445448326
2,d_tsi_mhar_recov_pos,d_cac_eur_pts,0.005052633272476218
2,d_tsi_mhar_revar,load_energy_mwh_pt,-0.06785713681957777
2,d_tsi_mhar_revar,d_load_energy_mwh_fr,-0.04673628934871526
2,d_tsi_mhar_revar,iberian_exception,-0.0448612747299569
2,d_tsi_mhar_revar,flow_net_mw_ES_PT,-0.04324304177440474
2,d_tsi_mhar_revar,d_load_energy_mwh_es,-0.03468266643941309
2,d_tsi_mhar_revar,d_ibex_eur_pts,0.021864388121633625
2,d_tsi_mhar_revar,d_TTF,0.01888076449040328
2,d_tsi_mhar_revar,d_psi_eur_pts,0.007437111505535002
2,d_tsi_mhar_revar,d_cac_eur_pts,0.005079643722578259
2,d_tsi_mhar_revar,d_flow_net_mw_ES_FR,0.0020700074737569963
2,d_tsi_mhar_revar,d_co2,0.0019098623197033719
2,d_tsi_mhar_revar,d_coal,-0.00041891410913667934
