,load_energy_mwh_pt,flow_net_mw_ES_PT,d_TTF,d_co2,d_coal,d_load_energy_mwh_es,d_load_energy_mwh_fr,d_flow_net_mw_ES_FR,d_cac_eur_pts,d_ibex_eur_pts,d_psi_eur_pts,iberian_exception
d_tsi_mhar_recov_neg,-0.01292037899422028,-0.012132769720328403,-0.08386206232532291,-0.03084341943188968,-0.011373417777608164,0.049688051949393235,-0.006908427877971486,-0.00018695899003445666,-0.017527811742609624,0.013228054629084067,0.034323110385478056,-0.1081646860277115
d_tsi_mhar_recov_pos,-0.019522921243396732,-0.01891708547121778,-0.02083760481105751,-0.022018277684326907,0.009398077049840168,-0.01722441981228658,-0.00972237286187711,-0.01293539534649553,-0.008104318616679705,0.00897822224773894,-0.003216322761147087,-0.13070279039924879
d_tsi_mhar_recov,-0.014973132981677406,-0.012755071296209062,-0.029122630194591968,-0.024674975076124758,0.004552065189031907,-0.016744487399963343,-0.027998171763098344,-0.017268852179573562,0.00018642045735799094,0.01569200213252683,-0.005995304373190707,-0.11063473277075496
d_tsi_mhar_revar,0.0026243660380104606,-0.010554406670128967,-0.06190852276073453,-0.023753051629956886,0.0035181209207416635,-0.015177234515776279,-0.04365995855745304,-0.006897322978130446,-0.04515026589263788,-0.009489437787316498,-0.035840650472604194,-0.04499156232990969
