,load_energy_mwh_pt,flow_net_mw_ES_PT,d_TTF,d_co2,d_coal,d_load_energy_mwh_es,d_load_energy_mwh_fr,d_flow_net_mw_ES_FR,d_cac_eur_pts,d_ibex_eur_pts,d_psi_eur_pts,iberian_exception
d_tsi_mhar_recov_neg,-0.05274593395313418,-0.08256137505582863,-0.018442460207599192,0.04192393178370965,0.027200565213832902,-0.002562079390463247,-0.004449367102533688,-0.0049301284035712205,0.00856872127415846,0.006692772065680156,0.015132209541255139,-0.10808773326674681
d_tsi_mhar_recov_pos,-0.059616202049271635,-0.09043262583652471,-0.01878917102880543,0.012619612315679136,-0.03669863395274842,0.004880995805839689,-0.00046919014616185527,-0.05351029713611033,-0.02716668212143708,-0.00012078069223605693,0.014514168085026329,-0.1242821513053076
d_tsi_mhar_recov,-0.0655792947336727,-0.09241517549614835,-0.02571862811458992,0.015569699326522825,0.010427712091125585,0.009185669545886304,0.007705227545817293,-0.04545852593229459,-0.02317166543090449,4.002156634976144e-06,0.003725807006751103,-0.10648468436918027
d_tsi_mhar_revar,-0.08263551043391541,-0.0723146155489244,-0.0027032026876491273,0.003640644998468034,-0.03658531678895538,-0.011809312362987543,0.008542162540837117,-0.09014578312053503,-0.009448540274291446,0.003147206010307451,0.041970736190659975,-0.04310540280379868
