,load_energy_mwh_pt,flow_net_mw_ES_PT,d_TTF,d_co2,d_coal,d_load_energy_mwh_es,d_load_energy_mwh_fr,d_flow_net_mw_ES_FR,d_cac_eur_pts,d_ibex_eur_pts,d_psi_eur_pts,iberian_exception
d_tsi_mhar_recov_neg,-0.030390629562826635,-0.01285670307146651,-0.05076349448686523,0.012060523847611684,0.0026702755692359684,-0.009594562346112218,-0.01426070977785977,-0.0037890589005131654,-0.04514722452623554,-0.0168717289304944,7.094639955699415e-05,-0.10776327351445322
d_tsi_mhar_recov_pos,-0.023840854353916304,-0.05031413342634787,-0.06789529184516044,0.015122697779970091,-0.060428414799490654,-0.022587665568656465,-0.005189095476704192,0.023203464813476394,-0.039257573727419386,-0.035501752857112066,-0.028034628022699546,-0.12606562700565505
d_tsi_mhar_recov,-0.016218736947204354,-0.038620196146710514,-0.05883041616329947,0.003791723649970053,-0.04057286828853432,-0.009495228707042372,-0.00144075591226601,0.025545103253843342,-0.03609352075555273,-0.033062678605205856,-0.02563618911455584,-0.10710264868603153
d_tsi_mhar_revar,-0.028206720429401023,-0.012652101433515882,-0.032023033737143894,0.032414496361683975,-0.0259027748215336,-0.002360345823767875,-0.010401552319967634,0.03412595790492816,-0.05999257818992532,-0.07152134000194184,-0.07238156840308156,-0.04270215692393529
