,load_energy_mwh_pt,flow_net_mw_ES_PT,d_TTF,d_co2,d_coal,d_load_energy_mwh_es,d_load_energy_mwh_fr,d_flow_net_mw_ES_FR,d_cac_eur_pts,d_ibex_eur_pts,d_psi_eur_pts,iberian_exception
d_tsi_mhar_recov_neg,-0.013418158304556659,-0.04205246700309723,-0.03959015525535438,-0.02143783082217625,-0.06083955741166385,0.012270123958264736,0.01638504317350574,-0.0018575618928059665,0.06362064131449513,0.0653584936208355,0.024529681760896996,-0.11125647611890965
d_tsi_mhar_recov_pos,-0.002744126449419343,-0.046010825061516374,-0.0030589129889788437,-0.009349548542959073,-0.02563887533199339,0.03798475876339559,0.03017764593183211,-0.04782423137710307,0.07166933433806293,0.07505236003356823,0.044129774435206576,-0.13018033283674707
d_tsi_mhar_recov,-0.007611429462457168,-0.06092860845951307,-0.009662509655711977,-0.024112551447058962,-0.03914988008514585,0.02638175659678327,0.039168191077152234,-0.02827204353469779,0.05950275264838733,0.06770141585665083,0.027667077933966774,-0.11162759472051319
d_tsi_mhar_revar,-0.031623329349737696,-0.03889596086664936,-0.026993241458863098,-0.02168653809519135,-0.0015067763516823365,-0.03016337713864815,-0.0328568386718374,-0.03853275899999707,0.06155183552120731,0.05210562357267038,0.0077088561890163035,-0.047822293058967534
