,load_energy_mwh_pt,flow_net_mw_ES_PT,d_TTF,d_co2,d_coal,d_load_energy_mwh_es,d_load_energy_mwh_fr,d_flow_net_mw_ES_FR,d_cac_eur_pts,d_ibex_eur_pts,d_psi_eur_pts,iberian_exception
d_tsi_mhar_recov_neg,-0.051143949987745206,-0.039603806062581244,-0.00960542033366944,-0.0005800451032968133,-0.008926948721354164,-0.023874658725239337,-0.01724583361809706,0.03042196578536099,0.00784340599497137,0.019056890918618206,0.0051859367615887,-0.10849468832309381
d_tsi_mhar_recov_pos,-0.05986242501024388,-0.07509265736885855,-0.009498621445448326,0.018025759903865346,-0.01828615980055065,-0.028952446886387706,-0.05036204630211763,0.01624200876607919,0.005052633272476218,0.019977014527073456,0.027650501989340433,-0.1256708255714072
d_tsi_mhar_recov,-0.06094021988578717,-0.055807374156316696,0.007366748245339521,0.0095786559168769,-0.006602408288244896,-0.039243108919477944,-0.046964203728617517,0.02274336085950457,-0.003236153549205571,0.004700934713522151,0.010793656929040071,-0.10770583454056046
d_tsi_mhar_revar,-0.06785713681957777,-0.04324304177440474,0.01888076449040328,0.0019098623197033719,-0.00041891410913667934,-0.03468266643941309,-0.04673628934871526,0.0020700074737569963,0.005079643722578259,0.021864388121633625,0.007437111505535002,-0.0448612747299569
