endog,variable,coef,std_err,t,pval
d_tsi_mhar_recov_neg,const,0.17353182705784084,0.08645543935532822,2.007182293581695,0.04473025625701164
d_tsi_mhar_recov_neg,load_mean_mw_fr,-1.1277980705356992e-06,1.2316411791372532e-06,-0.9156872063385421,0.359830977125023
d_tsi_mhar_recov_neg,load_mean_mw_pt,-1.6087158917571617e-05,1.8106586216020126e-05,-0.8884700144822559,0.37428797841614947
d_tsi_mhar_recov_neg,flow_mean_mw_es_pt,-1.4037747530083828e-05,1.4813462157576772e-05,-0.9476344814438816,0.3433155658822523
d_tsi_mhar_recov_neg,flow_mean_mw_pt_es,3.695828286403493e-05,2.870557185025435e-05,1.2874950917832857,0.19792177926190857
d_tsi_mhar_recov_neg,d_TTF,-0.0026944876972763597,0.001128672174005989,-2.3873076339897987,0.016972282388300425
d_tsi_mhar_recov_neg,d_co2,-0.0014232366430863078,0.0012296477585526074,-1.157434422327228,0.24709491725109067
d_tsi_mhar_recov_neg,d_coal,-0.00015350444422380086,0.0011817137011997283,-0.12989985989665376,0.8966456551363005
d_tsi_mhar_recov_neg,d_load_mean_mw_es,2.560838220649909e-06,3.014309813143256e-06,0.8495603900713588,0.39556954173922954
d_tsi_mhar_recov_neg,d_flow_mean_mw_es_fr,-5.592746388141309e-06,1.6683241641410297e-05,-0.3352313961729882,0.7374505401584491
d_tsi_mhar_recov_neg,d_flow_mean_mw_fr_es,-1.4406701011332327e-09,1.4281731035507598e-05,-0.00010087503381427661,0.9999195133680856
d_tsi_mhar_recov_neg,d_cac_eur_pts,9.792670787882812e-05,0.00013310579880811883,0.7357057976113889,0.46190976063302014
d_tsi_mhar_recov_neg,d_ibex_eur_pts,-2.3147502330061103e-05,9.198402769472762e-05,-0.25164697513444373,0.8013139458384216
d_tsi_mhar_recov_neg,d_psi_eur_pts,-8.068371870792416e-05,0.00012493541976403273,-0.6458033987504315,0.5184066866290717
d_tsi_mhar_recov_neg,iberian_exception,-0.061292537608952945,0.019398330886791958,-3.1596810038273007,0.0015794196084305513
d_tsi_mhar_recov_pos,const,0.10550644994501342,0.06376860484376229,1.6545202800580612,0.0980218462383099
d_tsi_mhar_recov_pos,load_mean_mw_fr,-7.70181221939271e-07,1.1324677585689792e-06,-0.6800910808379176,0.4964467915984866
d_tsi_mhar_recov_pos,load_mean_mw_pt,-9.044664676208428e-06,1.5807298892747466e-05,-0.572182808560557,0.5671981329890092
d_tsi_mhar_recov_pos,flow_mean_mw_es_pt,-7.041739296549678e-06,1.2596983511121771e-05,-0.5590020253922366,0.5761603379075124
d_tsi_mhar_recov_pos,flow_mean_mw_pt_es,3.367220083156828e-05,2.2120680588284055e-05,1.5222045586338038,0.1279578332543565
d_tsi_mhar_recov_pos,d_TTF,-0.0011984598473124453,0.0007900495567145043,-1.5169426235695311,0.1292811708809082
d_tsi_mhar_recov_pos,d_co2,-0.0006665027305675003,0.0010631391258581239,-0.626919576522523,0.5307119541359868
d_tsi_mhar_recov_pos,d_coal,-0.0006990675995908424,0.001203436990679243,-0.5808925643845094,0.5613128640325784
d_tsi_mhar_recov_pos,d_load_mean_mw_es,3.0432047306660304e-06,2.9417237226023688e-06,1.0344971240106422,0.3009038206076381
d_tsi_mhar_recov_pos,d_flow_mean_mw_es_fr,-1.4903417741292819e-06,1.7971077213555866e-05,-0.0829300189643108,0.9339071845656883
d_tsi_mhar_recov_pos,d_flow_mean_mw_fr_es,-2.4133399209291657e-06,1.2718536406337028e-05,-0.18974981427318285,0.8495051837113922
d_tsi_mhar_recov_pos,d_cac_eur_pts,-9.354896624784465e-05,0.00011157771669644708,-0.838419794001964,0.40179497638241135
d_tsi_mhar_recov_pos,d_ibex_eur_pts,5.265580570317825e-05,7.563947671144171e-05,0.6961418559789322,0.48633999626965363
d_tsi_mhar_recov_pos,d_psi_eur_pts,6.774429464323584e-05,0.00011686389104850098,0.5796854275125969,0.562126772214306
d_tsi_mhar_recov_pos,iberian_exception,-0.057731008364432096,0.01766482433147654,-3.268133737484304,0.001082591969800929
d_tsi_mhar_recov,const,0.08969566869251844,0.0717663680815291,1.2498287302294722,0.2113621185648994
d_tsi_mhar_recov,load_mean_mw_fr,-1.3672377860689848e-06,1.1486138605800047e-06,-1.1903371820522726,0.23391389226281267
d_tsi_mhar_recov,load_mean_mw_pt,-3.6160067427570576e-06,1.7084231723470335e-05,-0.21165755658707108,0.8323742027711093
d_tsi_mhar_recov,flow_mean_mw_es_pt,-3.20440746246416e-06,1.3078225010543642e-05,-0.24501852964609283,0.8064420840008848
d_tsi_mhar_recov,flow_mean_mw_pt_es,4.9758519891121046e-05,2.4279441703218505e-05,2.049409558067598,0.04042208340001098
d_tsi_mhar_recov,d_TTF,-0.0012736613987973946,0.0007236629897473927,-1.7600200878616006,0.07840440068354697
d_tsi_mhar_recov,d_co2,-0.00120727001819921,0.0009817838189918556,-1.2296699078203335,0.21882073984076
d_tsi_mhar_recov,d_coal,-0.001148977270941273,0.0011369827392287634,-1.0105494404608513,0.31223212495118147
d_tsi_mhar_recov,d_load_mean_mw_es,5.536103559066064e-06,2.934970190998455e-06,1.886255463869881,0.05926053765493258
d_tsi_mhar_recov,d_flow_mean_mw_es_fr,-6.2714569671274025e-06,1.8588908391728024e-05,-0.3373762910100827,0.7358332550831859
d_tsi_mhar_recov,d_flow_mean_mw_fr_es,-5.648486806297181e-06,1.3312477205061556e-05,-0.42430020493477816,0.6713468897906296
d_tsi_mhar_recov,d_cac_eur_pts,-4.082136471988154e-05,0.00010576444930638047,-0.38596489640511844,0.6995226668402896
