endog,quantile,variable,coef,std_err,t,pval
d_tsi_mhar_recov_neg,0.1,const,-0.022643161144003443,0.11243359381636257,-0.20139142026347076,0.8404311256346183
d_tsi_mhar_recov_neg,0.1,load_mean_mw_fr,-1.692778757353522e-06,1.8327377554798792e-06,-0.9236339199605179,0.35588694679759825
d_tsi_mhar_recov_neg,0.1,load_mean_mw_pt,-6.1606327476787515e-06,2.7150499356876733e-05,-0.2269067933779411,0.8205399296533766
d_tsi_mhar_recov_neg,0.1,flow_mean_mw_es_pt,-2.074796398153153e-05,1.9997792193447016e-05,-1.0375127304468308,0.29973335464679346
d_tsi_mhar_recov_neg,0.1,flow_mean_mw_pt_es,-2.269171425557659e-05,3.220963316555125e-05,-0.704500859694539,0.4812755180028122
d_tsi_mhar_recov_neg,0.1,d_TTF,-0.003557010265957672,0.003908327359221566,-0.9101106276486862,0.3629708738058979
d_tsi_mhar_recov_neg,0.1,d_co2,-0.00034254257075350125,0.006770175714931381,-0.050595816885230294,0.9596571193898329
d_tsi_mhar_recov_neg,0.1,d_coal,0.0017263131508524765,0.002918104035064119,0.5915872532675294,0.5542530328600361
d_tsi_mhar_recov_neg,0.1,d_load_mean_mw_es,8.422155873765835e-06,5.538962873858708e-06,1.5205293961283688,0.12867591569572087
d_tsi_mhar_recov_neg,0.1,d_flow_mean_mw_es_fr,-5.198612904339789e-07,2.6209858029321715e-05,-0.019834571017225473,0.9841790688704675
d_tsi_mhar_recov_neg,0.1,d_flow_mean_mw_fr_es,3.090564517034544e-06,2.2615657055488224e-05,0.13665596844928038,0.891328660186109
d_tsi_mhar_recov_neg,0.1,d_cac_eur_pts,0.0008604437863039133,0.0002881455606680334,2.9861427825196065,0.002890063732724181
d_tsi_mhar_recov_neg,0.1,d_ibex_eur_pts,-0.0005525425169983569,0.00020123402474952952,-2.74577083913166,0.006138939950291785
d_tsi_mhar_recov_neg,0.1,d_psi_eur_pts,-7.743683159858183e-05,0.00021103452389200164,-0.36693916317791997,0.7137375664007377
d_tsi_mhar_recov_neg,0.1,iberian_exception,-0.11505117110702656,0.02443357291631629,-4.708733000329948,2.8228493839101966e-06
d_tsi_mhar_recov_neg,0.25,const,0.03897072467425389,0.06500438070060703,0.5995092062140047,0.548961368785557
d_tsi_mhar_recov_neg,0.25,load_mean_mw_fr,5.45511729305417e-08,1.0179289621458977e-06,0.05359035351105669,0.957271630641021
d_tsi_mhar_recov_neg,0.25,load_mean_mw_pt,-2.0883605416879304e-05,1.561117412043565e-05,-1.3377344494250327,0.18126967804202182
d_tsi_mhar_recov_neg,0.25,flow_mean_mw_es_pt,7.968372347440114e-06,1.0986088496338429e-05,0.7253147787855437,0.46841887939280347
d_tsi_mhar_recov_neg,0.25,flow_mean_mw_pt_es,7.245084080775236e-06,1.8880386996471475e-05,0.3837359945073826,0.7012510132575136
d_tsi_mhar_recov_neg,0.25,d_TTF,-0.0018094060305658133,0.001516843150300295,-1.1928761587561632,0.23318456630073603
d_tsi_mhar_recov_neg,0.25,d_co2,-0.0010083467803852532,0.0030946880232207525,-0.32583148053025085,0.7446161086924171
d_tsi_mhar_recov_neg,0.25,d_coal,-0.0013357376206540872,0.001344780252947263,-0.993275754701664,0.3208020569568867
d_tsi_mhar_recov_neg,0.25,d_load_mean_mw_es,9.355778408484487e-06,2.916292805274337e-06,3.2081066728155183,0.0013761173263360442
d_tsi_mhar_recov_neg,0.25,d_flow_mean_mw_es_fr,2.4053611033383838e-05,1.4038537007317557e-05,1.7133986982294482,0.08693132996265245
d_tsi_mhar_recov_neg,0.25,d_flow_mean_mw_fr_es,1.8654900788864833e-05,1.337315468058082e-05,1.3949513958702389,0.16332243878555636
d_tsi_mhar_recov_neg,0.25,d_cac_eur_pts,9.722413626291233e-05,0.0001451320930397328,0.6699010138046813,0.5030666574099703
d_tsi_mhar_recov_neg,0.25,d_ibex_eur_pts,-8.125544083452765e-05,0.00010187974567854371,-0.7975622661142977,0.42530300961622136
d_tsi_mhar_recov_neg,0.25,d_psi_eur_pts,6.616888991595442e-05,0.00012335627732416028,0.5364047241963481,0.5917913112407189
d_tsi_mhar_recov_neg,0.25,iberian_exception,-0.03814076693891666,0.013461538460241163,-2.833314115735429,0.004694074322401073
d_tsi_mhar_recov_neg,0.5,const,0.10486644885525376,0.04264401375397847,2.4591130061126165,0.014086830628196446
d_tsi_mhar_recov_neg,0.5,load_mean_mw_fr,-2.827938034239355e-07,6.660163113528823e-07,-0.4246049212360805,0.6712107902871309
d_tsi_mhar_recov_neg,0.5,load_mean_mw_pt,-1.2163839768550744e-05,9.823788682885368e-06,-1.238202506304123,0.21591488015572693
d_tsi_mhar_recov_neg,0.5,flow_mean_mw_es_pt,-9.416572900165614e-06,7.401490941502798e-06,-1.2722535195393583,0.20356181243034333
d_tsi_mhar_recov_neg,0.5,flow_mean_mw_pt_es,-8.937118697174146e-06,1.2104013995668986e-05,-0.7383599110486813,0.46045905389610875
d_tsi_mhar_recov_neg,0.5,d_TTF,-0.0004688678058537435,0.0007842538422897071,-0.5978520991173436,0.5500662064783031
d_tsi_mhar_recov_neg,0.5,d_co2,-3.345892899800232e-05,0.0012907020911194652,-0.02592304547130808,0.9793235932643705
d_tsi_mhar_recov_neg,0.5,d_coal,0.0005357874287201334,0.0008929182518516287,0.6000408521262507,0.5486071387044062
d_tsi_mhar_recov_neg,0.5,d_load_mean_mw_es,4.59258833565557e-06,1.8534707723417816e-06,2.4778315386398186,0.013373110883412661
