,co2,load_energy_mw_es,load_energy_mw_fr,load_energy_mw_pt,flow_net_mw_ES_FR,flow_net_mw_ES_PT,psi_eur_pts,d_TTF,d_coal,d_cac_eur_pts,d_ibex_eur_pts,iberian_exception
d_tsi_mhar_recov_neg,-0.02607998574442676,-0.05142884292970802,-0.037656026683502396,-0.043338679931155574,-0.07188705397260474,-0.0598691952546516,0.010898383174728195,-0.06535709559816634,-0.01014988959393561,-0.026461552612813747,-0.015491204469999445,-0.10553383927828958
d_tsi_mhar_recov_pos,-0.01371542653047329,-0.04686336793225277,-0.022858557609223677,-0.023234059126998184,-0.09362399297305876,-0.050818578367425704,0.006695860282646329,-0.03589971768818416,-0.018000271049732123,-0.019452681518961797,-0.03163723891883468,-0.12549547515825693
d_tsi_mhar_recov,-0.03848763282555995,-0.022500154272244603,-0.021328117061008674,-0.008151777217073978,-0.0712423668656857,-0.07353755666768441,0.011640472343824381,-0.04329603061291541,-0.03315484741765319,-0.03135632319281595,-0.024087445175564094,-0.10578343643437269
d_tsi_mhar_revar,-0.02101508458183097,-0.05396684349727259,-0.06071347571613619,-0.040168607698226784,-0.0774254516244475,-0.04982099783742302,-0.014840751828227076,-0.005710475184020516,-0.02900448783833988,-0.03875660115059054,-0.027721506474613664,-0.04379755963340812
