endog,variable,coef,std_err,t,pval,ci_low,ci_high
d_tsi_mhar_recov_neg,const,0.4784939564628187,0.19785987132982832,2.418347658101825,0.015591172573418364,0.09069573467062603,0.8662921782550115
d_tsi_mhar_recov_neg,co2,-0.00019950056595417363,0.000781189364417975,-0.2553805454107936,0.7984291952500727,-0.0017306035853191402,0.0013316024534107932
d_tsi_mhar_recov_neg,load_energy_mwh_pt,-1.046101659290427e-06,5.304359788471709e-07,-1.972154418265488,0.0485919813251356,-2.085737073935132e-06,-6.466244645722238e-09
d_tsi_mhar_recov_neg,flow_net_mw_ES_FR,-9.442335532390736e-06,4.915860574425438e-06,-1.9207899388998333,0.05475819539751778,-1.9077245211284976e-05,1.92574146503504e-07
d_tsi_mhar_recov_neg,flow_net_mw_ES_PT,-2.4773516710267704e-05,9.203534690422827e-06,-2.6917393744434905,0.0071080468283350835,-4.281211323396144e-05,-6.7349201865739655e-06
d_tsi_mhar_recov_neg,psi_eur_pts,-4.326319508986271e-05,2.7326726724792844e-05,-1.5831824837846793,0.11337987766359664,-9.682259528582488e-05,1.0296205106099454e-05
d_tsi_mhar_recov_neg,d_TTF,-0.0027297528858308837,0.001109544762549779,-2.4602458395259337,0.013884187378771545,-0.004904420659663497,-0.0005550851119982708
d_tsi_mhar_recov_neg,d_coal,9.07955924724729e-05,0.0012056296339843097,0.07530968874115658,0.9399683128752024,-0.0022721950688309816,0.0024537862537759273
d_tsi_mhar_recov_neg,d_load_energy_mwh_es,3.390891602662306e-08,2.8627218587048164e-08,1.1844991480228715,0.23621553334287637,-2.2199401381546955e-08,9.001723343479308e-08
d_tsi_mhar_recov_neg,d_load_energy_mwh_fr,-2.2815083874265622e-08,2.8481896709968382e-08,-0.8010380806654835,0.42310960054582836,-7.86385756371935e-08,3.300840788866227e-08
d_tsi_mhar_recov_neg,d_cac_eur_pts,-9.408145704062205e-05,0.00012650011908253744,-0.7437262330103958,0.45704211561198704,-0.0003420171344824235,0.00015385422040117936
d_tsi_mhar_recov_neg,d_ibex_eur_pts,1.640008358729319e-05,8.745477597775946e-05,0.18752644900106863,0.8512478882042501,-0.00015500812760513402,0.0001878082947797204
d_tsi_mhar_recov_neg,iberian_exception,-0.06911917836076668,0.022042242193412727,-3.1357598630062595,0.0017140949441454196,-0.11232117919836479,-0.025917177523168577
d_tsi_mhar_recov_pos,const,0.4153372458000475,0.1509439044866941,2.7515999881708377,0.005930491221561648,0.11949262932027321,0.7111818622798218
d_tsi_mhar_recov_pos,co2,0.0001000891758982498,0.0005632399854616423,0.17770253973750602,0.8589565905743859,-0.0010038409102594327,0.0012040192620559323
d_tsi_mhar_recov_pos,load_energy_mwh_pt,-6.368286940536715e-07,3.641810592860628e-07,-1.7486595686829638,0.08034988279447954,-1.350610454106001e-06,7.695306599865784e-08
d_tsi_mhar_recov_pos,flow_net_mw_ES_FR,-9.308078146291257e-06,4.1712685994680496e-06,-2.231474172504329,0.025649736470639898,-1.7483614371091465e-05,-1.1325419214910467e-06
d_tsi_mhar_recov_pos,flow_net_mw_ES_PT,-2.0652149168402915e-05,7.101815756532733e-06,-2.9080097085601895,0.00363737045084276,-3.457145227604615e-05,-6.732846060759681e-06
d_tsi_mhar_recov_pos,psi_eur_pts,-4.6469505460062476e-05,2.0298663193202016e-05,-2.2892889555222053,0.022062568987400864,-8.625415425304723e-05,-6.684856667077715e-06
d_tsi_mhar_recov_pos,d_TTF,-0.0011343337197624146,0.0008368969448597617,-1.3554043024407194,0.17528877961624767,-0.002774621590459151,0.0005059541509343218
d_tsi_mhar_recov_pos,d_coal,-0.0005633378685573153,0.001184575225711832,-0.4755610756748654,0.6343871116247879,-0.0028850626479309115,0.0017583869108162811
d_tsi_mhar_recov_pos,d_load_energy_mwh_es,1.1661572265437939e-08,2.7872162180217147e-08,0.4183949630472151,0.6756583686627211,-4.2966861779047054e-08,6.629000630992294e-08
d_tsi_mhar_recov_pos,d_load_energy_mwh_fr,4.59800696406592e-08,1.9614184102864537e-08,2.3442254543712617,0.019066642067900708,7.536975212906633e-09,8.442316406841175e-08
d_tsi_mhar_recov_pos,d_cac_eur_pts,6.476191902095284e-05,0.00011785339858243408,0.5495125282760028,0.5826537692532481,-0.0001662264976562618,0.0002957503356981675
d_tsi_mhar_recov_pos,d_ibex_eur_pts,-9.390681153805306e-05,7.883702860483174e-05,-1.191151077100561,0.2335942813711962,-0.00024842454825167726,6.061092517557117e-05
d_tsi_mhar_recov_pos,iberian_exception,-0.07218740260078312,0.01992764430154225,-3.622475467167805,0.0002917971426183639,-0.11124486772853076,-0.03312993747303546
d_tsi_mhar_recov,const,0.40436331293023997,0.1742848902792164,2.3201283386208758,0.020333935739338515,0.06277120493346089,0.745955420927019
d_tsi_mhar_recov,co2,-0.0003767275988817812,0.0005834731403705647,-0.6456639951626922,0.5184969828742747,-0.0015203139399545713,0.0007668587421910091
d_tsi_mhar_recov,load_energy_mwh_pt,-6.981356244158055e-07,4.1472948322405126e-07,-1.6833518055880499,0.09230700711200936,-1.5109904748618545e-06,1.1471922603024353e-07
d_tsi_mhar_recov,flow_net_mw_ES_FR,-8.031423246119514e-06,4.245143313678891e-06,-1.8919086242012848,0.05850315652444529,-1.6351751250141163e-05,2.8890475790213424e-07
d_tsi_mhar_recov,flow_net_mw_ES_PT,-2.1645776342017474e-05,8.03878588853312e-06,-2.692667355762512,0.0070882951000776845,-3.740150716297121e-05,-5.8900455210637416e-06
