,d_tsi_mhar_recov_neg,d_tsi_mhar_recov_pos,d_tsi_mhar_recov,d_tsi_mhar_revar
d_tsi_mhar_recov_neg,1.0,0.512595912632916,0.7187916784661553,0.5494390684250732
d_tsi_mhar_recov_pos,0.512595912632916,1.0,0.8495964047000341,0.6663657601578509
d_tsi_mhar_recov,0.7187916784661553,0.8495964047000341,1.0,0.7343751148058156
d_tsi_mhar_revar,0.5494390684250732,0.6663657601578509,0.7343751148058156,1.0
