endog,nobs,r2,adj_r2,f_stat,f_pval,aic,bic,dw,nw_maxlags
d_tsi_mhar_recov,1076,0.03997014172797675,0.029132551606373513,3.3361330742994983,8.761132764577974e-05,-728.4183665408257,-663.6652919114432,1.7467229767624706,10
d_tsi_mhar_recov_neg,1076,0.037121605488459,0.026251858795948713,3.8836827912167258,7.436703145037321e-06,-345.71230403402774,-280.95922940464527,1.7598127594047737,10
d_tsi_mhar_recov_pos,1076,0.043476530218615195,0.032678523033877194,4.156672695565991,2.114278503681297e-06,-705.494407876661,-640.7413332472785,1.8495813612792056,10
d_tsi_mhar_revar,1076,0.02508438277641678,0.014078750220741454,2.8655955928756334,0.0006742355066198621,-516.8405670221098,-452.0874923927273,1.8211148156964163,10
