endog,quantile,variable,coef,std_err,t,pval,ci_low,ci_high
d_tsi_mhar_recov_neg,0.1,const,-0.040604134953429016,0.33053595589510554,-0.1228433222747924,0.9022543884858275,-0.689181179486632,0.6079729095797739
d_tsi_mhar_recov_neg,0.1,co2,-0.001688713136365064,0.0013038447042543356,-1.2951796566377385,0.19553947346810843,-0.0042471148162231765,0.0008696885434930485
d_tsi_mhar_recov_neg,0.1,load_energy_mw_es,1.102367854926663e-05,6.49772325709819e-06,1.6965447916274723,0.09007552418482535,-1.726142071219169e-06,2.377349916975243e-05
d_tsi_mhar_recov_neg,0.1,load_energy_mw_fr,3.2141915656483496e-07,1.8965680883324313e-06,0.16947409299048402,0.8654559931382593,-3.400023257031444e-06,4.042861570161114e-06
d_tsi_mhar_recov_neg,0.1,load_energy_mw_pt,-4.073437588509126e-05,4.143696433938659e-05,-0.9830444033365758,0.3258092716778558,-0.00012204191107559196,4.057315930540943e-05
d_tsi_mhar_recov_neg,0.1,flow_net_mw_ES_FR,-2.0646033490037378e-05,7.226561383599641e-06,-2.856965075657232,0.00436048173714088,-3.482597894141885e-05,-6.466088038655905e-06
d_tsi_mhar_recov_neg,0.1,flow_net_mw_ES_PT,-7.718571566781805e-06,1.0489054151586207e-05,-0.735869169444088,0.46197266145827265,-2.8300174325131645e-05,1.2863031191568034e-05
d_tsi_mhar_recov_neg,0.1,psi_eur_pts,-1.1484916593962101e-05,4.220056139895076e-05,-0.27215080115611096,0.7855589200612619,-9.42907805298642e-05,7.132094734194002e-05
d_tsi_mhar_recov_neg,0.1,d_TTF,-0.00527213557018507,0.003949315139781248,-1.3349493224987592,0.18217875937804623,-0.013021474471464598,0.0024772033310944573
d_tsi_mhar_recov_neg,0.1,d_coal,-0.001549458083637164,0.0028975199010332383,-0.5347532153565663,0.5929323503691923,-0.007234966302551341,0.004136050135277013
d_tsi_mhar_recov_neg,0.1,d_cac_eur_pts,-0.00023350534770026968,0.0002697950555949322,-0.8654915753936293,0.3869643220202158,-0.0007628967094163383,0.0002958860140157989
d_tsi_mhar_recov_neg,0.1,d_ibex_eur_pts,0.00012212470237942747,0.00016709516293723684,0.7308691660051173,0.4650201307589611,-0.00020574911891225434,0.00044999852367110925
d_tsi_mhar_recov_neg,0.1,iberian_exception,-0.07969480604093111,0.035249301237268944,-2.2608903792019035,0.023967572971960602,-0.1488609200765963,-0.010528692005265933
d_tsi_mhar_recov_neg,0.5,const,0.2930813265115522,0.10832289877196274,2.7056266942092817,0.0069266338232823995,0.08053033383502678,0.5056323191880776
d_tsi_mhar_recov_neg,0.5,co2,-9.26258539582566e-05,0.00042046900037100566,-0.22029175486546476,0.8256862405429964,-0.0009176693529021341,0.000732417644985621
d_tsi_mhar_recov_neg,0.5,load_energy_mw_es,6.88076448640114e-07,2.306658026625093e-06,0.2983001557655468,0.7655323821488269,-3.838043687385443e-06,5.214196584665672e-06
d_tsi_mhar_recov_neg,0.5,load_energy_mw_fr,-2.636400070965846e-07,6.843087525671184e-07,-0.3852647012150064,0.7001183876089649,-1.6063893823840085e-06,1.0791093681908396e-06
d_tsi_mhar_recov_neg,0.5,load_energy_mw_pt,-1.3065446351663005e-05,1.3400176225285599e-05,-0.975020487193969,0.3297719216555771,-3.93592474871071e-05,1.3228354783781088e-05
d_tsi_mhar_recov_neg,0.5,flow_net_mw_ES_FR,-1.3695382378516926e-06,2.5661918742927215e-06,-0.5336850496532558,0.5936710279106376,-6.404915212277062e-06,3.6658387365736772e-06
d_tsi_mhar_recov_neg,0.5,flow_net_mw_ES_PT,-4.565522175424637e-06,4.008407595640595e-06,-1.138986509353475,0.25496538846186745,-1.2430812184872338e-05,3.299767834023063e-06
d_tsi_mhar_recov_neg,0.5,psi_eur_pts,-3.1930455570508666e-05,1.4192098011004705e-05,-2.2498756382424534,0.024660750807987082,-5.9778164176903215e-05,-4.082746964114117e-06
d_tsi_mhar_recov_neg,0.5,d_TTF,-0.000862304773542527,0.0008005795851775183,-1.0771006274801798,0.2816796879050342,-0.00243320056266155,0.0007085910155764961
d_tsi_mhar_recov_neg,0.5,d_coal,0.0006700790769886101,0.0009140496850332659,0.7330882423138992,0.46366623859862743,-0.0011234675333036564,0.0024636256872808764
d_tsi_mhar_recov_neg,0.5,d_cac_eur_pts,-9.411111621315917e-05,0.00010044565176348395,-0.9369356916988253,0.34900445093872,-0.0002912053893023048,0.00010298315687598646
d_tsi_mhar_recov_neg,0.5,d_ibex_eur_pts,4.783872907369575e-05,6.925267374511408e-05,0.6907853009367868,0.4898512836882477,-8.804873993703441e-05,0.00018372619808442592
d_tsi_mhar_recov_neg,0.5,iberian_exception,-0.049161991828535534,0.012252357753236177,-4.012451547584834,6.430125753441378e-05,-0.07320354566989498,-0.02512043798717608
d_tsi_mhar_recov_neg,0.9,const,1.0945430604165824,0.3449444752688919,3.1730992634781634,0.0015514693776175813,0.41769364567710954,1.7713924751560555
d_tsi_mhar_recov_neg,0.9,co2,0.0022922929984285387,0.0012519785711241566,1.8309362886061855,0.06738985436920245,-0.00016433705042549502,0.004748923047282572
d_tsi_mhar_recov_neg,0.9,load_energy_mw_es,-8.00654754152158e-06,7.689745462879582e-06,-1.0411979928557173,0.2980204141536256,-2.309535194109431e-05,7.082256858051148e-06
d_tsi_mhar_recov_neg,0.9,load_energy_mw_fr,1.2628073068575057e-06,2.0684518078960456e-06,0.610508449864243,0.5416555490034884,-2.7959050250326875e-06,5.321519638747699e-06
